,link,text,user,date,likes,quotes,retweets,comments
0,https://twitter.com/aimim_national/status/1767523795814985760#m,à¤•à¥‡à¤‚à¤¦à¥à¤° à¤•à¥€ @BJP4India à¤¸à¤°à¤•à¤¾à¤° à¤¦à¥à¤µà¤¾à¤°à¤¾ à¤²à¤¾à¤—à¥‚ CAA Rules à¤•à¥‡ à¤¤à¤¾à¤²à¥à¤²à¥à¤•à¤¼ à¤¸à¥‡ AIMIM à¤…à¤§à¥à¤¯à¤•à¥à¤· à¤¬à¥ˆà¤°à¤¿à¤¸à¥à¤Ÿà¤° @asadowaisi à¤•à¥€ à¤ªà¥à¤°à¥‡à¤¸ à¤•à¤¾à¤‚à¤«à¥à¤°à¥‡à¤‚à¤¸   #AIMIM #AsaduddinOwaisi #CAA #NPR #NRC #PressConference #Muslims #Dalits #Tribals #CitizenshipAmendmentBill #India #Bharat,AIMIM,"Mar 12, 2024 Â· 12:11 PM UTC",727,4,228,30
1,https://twitter.com/aimim_national/status/1775788118576427486#m,"Ye waqt ittehad paida karne ka hai. Aap sab apni party ke liye kaam kariye, Humko Majlis ko kamyab karna hain - Barrister @asadowaisi #AIMIM #AsaduddinOwaisi #LokSabhaElection2024 #voteforkite #Hyderabad #Telangana #India",AIMIM,"Apr 4, 2024 Â· 7:30 AM UTC",196,0,43,2
2,https://twitter.com/aimim_national/status/1775565504645861503#m,"Barrister @asadowaisi ne Bahadurpura MLA @MohdMubeen58, Syed Mushtaq Ahmed (P.A Barrister Asaduddin Owaisi) aur AIMIM Corporators ke saath Dawat-e-Iftar mein shirkat ki.  #AIMIM #AsaduddinOwaisi #Mohammedmubeen #Syedmushtaqahmed #AIMIMCorporators #Dawateiftaar #Bahadurpura #Hyderabad #Telangana",AIMIM,"Apr 3, 2024 Â· 4:46 PM UTC",223,1,30,0
3,https://twitter.com/AIMIM_Bihar1/status/1775553311594176929#m,à¤•à¤¿à¤¶à¤¨à¤—à¤‚à¤œ à¤²à¥‹à¤•à¤¸à¤­à¤¾ à¤¨à¤¿à¤°à¥à¤µà¤¾à¤šà¤¨ à¤•à¥à¤·à¥‡à¤¤à¥à¤° à¤¸à¥‡ AIMIM à¤ªà¥à¤°à¤¤à¥à¤¯à¤¾à¤¶à¥€ @Akhtaruliman5 à¤¨à¥‡ à¤šà¥à¤¨à¤¾à¤µà¥€ à¤œà¤¨à¤¸à¤‚à¤ªà¤°à¥à¤• à¤•à¥‡ à¤¦à¥Œà¤°à¤¾à¤¨ à¤ªà¥‹à¤ à¤¿à¤¯à¤¾ à¤¤à¥ˆà¤¯à¤¬à¤ªà¥à¤° à¤®à¥‡à¤‚ à¤²à¥‹à¤—à¥‹à¤‚ à¤¸à¥‡ à¤®à¥à¤²à¤¾à¤•à¤¼à¤¾à¤¤ à¤•à¥€ à¤œà¤¹à¤¾à¤‚ à¤¬à¤¡à¤¼à¥€ à¤¸à¤‚à¤–à¥à¤¯à¤¾ à¤®à¥‡ à¤²à¥‹à¤—à¥‹à¤‚ à¤¨à¥‡ AIMIM à¤•à¥‹ à¤•à¤¾à¤®à¤¯à¤¾à¤¬ à¤•à¤°à¤¨à¥‡ à¤•à¤¾ à¤¸à¤‚à¤•à¤²à¥à¤ª à¤²à¤¿à¤¯à¤¾à¥¤   #AIMIM #AkhtarulIman #kishanganjbihar #LokSabhaElection2024 #VoteForMIM,AIMIM Bihar Official,"Apr 3, 2024 Â· 3:57 PM UTC",76,0,18,0
4,https://twitter.com/aimim_national/status/1775545107015766431#m,,AIMIM,"Apr 3, 2024 Â· 3:25 PM UTC",7,0,1,0
5,https://twitter.com/aimim_national/status/1775545102968193239#m,"Sadr-e-Majlis Barrister @asadowaisi ne Bahadurpura MLA @MohdMubeen58, Syed Mushtaq Ahmed (P.A Barrister Asaduddin Owaisi) aur AIMIM Corporators ke saath Bahadurpura mein munazzam Dawat-e-Iftar mein shirkat ki.    #AIMIM #AsaduddinOwaisi #Mohammedmubeen #MLA #Syedmushtaqahmed #AIMIMCorporators #Dawateiftaar #Bahadurpura #Hyderabad #Telangana",AIMIM,"Apr 3, 2024 Â· 3:25 PM UTC",137,0,32,2
6,https://twitter.com/MainMediaHun/status/1775443474088685711#m,à¤•à¤¿à¤¶à¤¨à¤—à¤‚à¤œ à¤¸à¥‡ à¤¨à¤¾à¤®à¤¾à¤‚à¤•à¤¨ à¤•à¥‡ à¤¬à¤¾à¤¦ à¤•à¥à¤¯à¤¾ à¤¬à¥‹à¤²à¥‡ @aimim_national à¤•à¥‡ à¤…à¤–à¥à¤¤à¤°à¥à¤² à¤ˆà¤®à¤¾à¤¨ [@Akhtaruliman5]?  #AIMIM #AkhtarulIman #KishanganjLokSabha #LokSabhaElections2024,Main Media / à¤®à¥ˆà¤‚ à¤®à¥€à¤¡à¤¿à¤¯à¤¾,"Apr 3, 2024 Â· 8:41 AM UTC",405,0,80,6
7,https://twitter.com/Md_MajidHussain/status/1775502596486336795#m,"#à¤•à¤¿à¤¶à¤¨à¤—à¤‚à¤œ à¤²à¥‹à¤•à¤¸à¤­à¤¾ à¤¸à¥€à¤Ÿ à¤¸à¥‡ #AIMIM à¤ªà¥à¤°à¤¤à¥à¤¯à¤¾à¤¶à¥€ @Akhtaruliman5 à¤¨à¥‡ à¤¨à¤¾à¤®à¤¾à¤‚à¤•à¤¨ à¤ªà¤°à¥à¤šà¤¾ à¤¦à¤¾à¤–à¤¿à¤² à¤•à¤¿à¤¯à¤¾à¥¤ à¤‡à¤¸ à¤®à¥Œà¤•à¤¼à¥‡ à¤ªà¤° à¤®à¥ˆà¤‚ à¤”à¤° à¤®à¥‡à¤°à¥‡ à¤¸à¤¾à¤¥ à¤®à¥‡à¤‚ AIMIM à¤¬à¤¿à¤¹à¤¾à¤° à¤¯à¥‚à¤¥ à¤ªà¥à¤°à¥‡à¤œà¤¿à¤¡à¥‡à¤‚à¤Ÿ @AadilHasanAdv1, AIMIM à¤œà¤¨à¤°à¤² à¤¸à¥‡à¤•à¥à¤°à¥‡à¤Ÿà¤°à¥€ à¤‡à¤‚à¤œà¥€à¤¨à¤¿à¤¯à¤° à¤†à¤«à¤¤à¤¾à¤¬, à¤œà¤¨à¤¾à¤¬ à¤¨à¥à¤°à¥à¤² à¤‡à¤¸à¥à¤²à¤¾à¤®, à¤œà¤¨à¤¾à¤¬ à¤®à¥à¤œà¤«à¥à¤«à¤° à¤¹à¥à¤¸à¥ˆà¤¨ à¤”à¤° à¤®à¤œà¤²à¤¿à¤¸ à¤•à¥‡ à¤…à¤¨à¥à¤¯ à¤•à¤¾à¤°à¥à¤¯à¤•à¤°à¥à¤¤à¤¾ à¤®à¥Œà¤œà¥‚à¤¦ à¤¥à¥‡à¥¤",Majid Hussain,"Apr 3, 2024 Â· 12:36 PM UTC",475,0,85,8
8,https://twitter.com/AIMIM_Bihar1/status/1769740628924244412#m,"à¤”à¤°à¤‚à¤—à¤¾à¤¬à¤¾à¤¦ à¤¸à¥‡ @imtiaz_jaleel, à¤•à¤¿à¤¶à¤¨à¤—à¤‚à¤œ à¤¸à¥‡ @Akhtaruliman5 à¤šà¥à¤¨à¤¾à¤µ à¤²à¤¡à¤¼à¥‡à¤‚à¤—à¥‡ à¤”à¤° à¤¹à¥ˆà¤¦à¤°à¤¾à¤¬à¤¾à¤¦ à¤¸à¥‡ à¤‡à¤‚à¤¶à¤¾à¤…à¤²à¥à¤²à¤¾à¤¹ à¤ªà¤¾à¤°à¥à¤Ÿà¥€ à¤®à¥à¤à¥‡ à¤Ÿà¤¿à¤•à¤Ÿ à¤¦à¥‡à¤—à¥€ - Barrister @asadowaisi #AIMIM #AsaduddinOwaisi #LokSabhaElection2024 #ImtiazJaleel #AkhtarulIman #VoteForKite",AIMIM Bihar Official,"Mar 18, 2024 Â· 3:00 PM UTC",129,0,23,2
9,https://twitter.com/Akhtaruliman5/status/1772236238462030028#m,Ø³Ø¨ Ù†Û’ Ø¯ÛŒØ§ ÛÛ’ ÛÙ…Ú©Ùˆ Ú†ÙˆÙ¹ ØŒ  Ø§Ø¨ Ø§Ù¾Ù†ÛŒ Ù¾Ø§Ø±Ù¹ÛŒ Ø§Ù¾Ù†Ø§ ÙˆÙˆÙ¹  à¤¸à¤¬à¤¨à¥‡ à¤¦à¤¿à¤¯à¤¾ à¤¹à¥ˆ à¤¹à¤®à¤•à¥‹ à¤šà¥‹à¤Ÿ à¤…à¤¬ à¤…à¤ªà¤¨à¥€ à¤ªà¤¾à¤°à¥à¤Ÿà¥€ à¤…à¤ªà¤¨à¤¾ à¤µà¥‹à¤Ÿà¥¤  #aimim #akhtaruliman #asadduddinowaisi #akbaruddinowaisi #seemanchal #loksabha #india,Akhtarul Iman,"Mar 25, 2024 Â· 12:17 PM UTC",917,1,175,9
10,https://twitter.com/AIMIM_Bihar1/status/1775124729088623041#m,"à¤¸à¤¡à¤¼à¤• à¤•à¥‡ à¤¸à¤¾à¤¥ à¤¸à¤¾à¤¥ à¤ªà¥à¤² à¤­à¥€ à¤®à¤¿à¤²à¥‡à¤—à¤¾  , à¤…à¤¸à¥à¤ªà¤¤à¤¾à¤² à¤•à¥‡ à¤¸à¤¾à¤¥ à¤¸à¤¾à¤¥ à¤¸à¥à¤•à¥‚à¤² à¤­à¥€ à¤®à¤¿à¤²à¥‡à¤—à¤¾  ,  à¤ªà¤¤à¤‚à¤— à¤•à¥‹ à¤µà¥‹à¤Ÿ à¤¦à¥€à¤œà¤¿à¤¯à¥‡  , Vote For Kite  #AIMIM #akhtaruliman #Biharelection2024 #VoteForKite #VoteForMIM #votefordevelpment #kishanganjbihar #VoteForMajlis #Bihar #india",AIMIM Bihar Official,"Apr 2, 2024 Â· 11:34 AM UTC",69,0,17,2
11,https://twitter.com/AIMIM_Bihar1/status/1775502956198064408#m,"AIMIM, à¤—à¤¼à¤°à¥€à¤¬à¥‹à¤‚ à¤”à¤° à¤®à¤œà¤²à¥‚à¤®à¥‹à¤‚ à¤•à¥€ à¤¸à¤¹à¤¾à¤°à¤¾ à¤¹à¥ˆ  à¤‡à¤¸à¤²à¤¿à¤ #Kishanganj à¤•à¥€ à¤œà¤¨à¤¤à¤¾ à¤¨à¥‡ @aimim_national à¤•à¥‹ à¤ªà¥à¤•à¤¾à¤°à¤¾ à¤¹à¥ˆ  à¤•à¤¿à¤¶à¤¨à¤—à¤‚à¤œ à¤•à¥€ à¤œà¤¨à¤¤à¤¾ à¤¸à¥‡ à¤…à¤ªà¥€à¤² à¤¹à¥ˆ à¤•à¤¿ 26 à¤…à¤ªà¥à¤°à¥ˆà¤² à¤•à¥‹ à¤ªà¤¤à¤‚à¤— à¤•à¥‡ à¤¨à¤¿à¤¶à¤¾à¤¨ à¤ªà¤° à¤¬à¤Ÿà¤¨ à¤¦à¤¬à¤¾à¤•à¤° à¤•à¤¿à¤¶à¤¨à¤—à¤‚à¤œ à¤²à¥‹à¤•à¤¸à¤­à¤¾ à¤¸à¥€à¤Ÿ à¤¸à¥‡ AIMIM à¤ªà¥à¤°à¤¤à¥à¤¯à¤¾à¤¶à¥€ @Akhtaruliman5 à¤•à¥‹ à¤­à¤¾à¤°à¥€ à¤®à¤¤à¥‹à¤‚ à¤¸à¥‡ à¤•à¤¾à¤®à¤¯à¤¾à¤¬ à¤•à¤°à¥‡ |   #AIMIM #AkhtarulIman #Bihar",AIMIM Bihar Official,"Apr 3, 2024 Â· 12:37 PM UTC",70,0,18,0
12,https://twitter.com/MuslimSpaces/status/1775177810413600806#m,â€œà¤®à¥à¤¸à¤²à¤®à¤¾à¤¨à¥‹à¤‚ à¤•à¥‹ à¤­à¤¾à¤°à¤¤ à¤•à¥€ à¤°à¤¾à¤œà¤¨à¥€à¤¤à¤¿ à¤®à¥‡à¤‚ à¤¸à¤­à¥€ à¤°à¤¾à¤œà¤¨à¥€à¤¤à¤¿à¤• à¤¦à¤²à¥‹à¤‚ à¤¨à¥‡ à¤°à¤¾à¤·à¥à¤Ÿà¥à¤°à¥€à¤¯ à¤¸à¥à¤¤à¤° à¤”à¤° à¤–à¤¾à¤¸ à¤¤à¥Œà¤° à¤ªà¤° à¤‰à¤¤à¥à¤¤à¤° à¤ªà¥à¤°à¤¦à¥‡à¤¶ à¤®à¥‡à¤‚ à¤…à¤¦à¥ƒà¤¶à¥à¤¯ à¤•à¤° à¤¦à¤¿à¤¯à¤¾ à¤¹à¥ˆâ€: @asadowaisi #LokasabhaElection2024 #AsaduddinOwaisi #AIMIM #IndianMuslim #Majlis #IndianMuslims,Muslim Spaces,"Apr 2, 2024 Â· 3:05 PM UTC",758,2,316,1
13,https://twitter.com/YouthSartajAlam/status/1775413270234730508#m,à¤•à¤¿à¤¶à¤¨à¤—à¤‚à¤œ à¤¸à¤‚à¤¸à¤¦à¥€à¤¯ à¤¸à¥€à¤Ÿ à¤¸à¥‡ AIMIM à¤•à¥‡ à¤¸à¤¿à¤‚à¤¬à¤² à¤ªà¤° à¤…à¤–à¥à¤¤à¤° à¤‰à¤² à¤ˆà¤®à¤¾à¤¨ à¤¨à¥‡ à¤¨à¤¾à¤®à¤¾à¤‚à¤•à¤¨ à¤ªà¤°à¥à¤šà¤¾ à¤¦à¤¾à¤–à¤¿à¤² à¤•à¤¿à¤¯à¤¾ @aimim_national @AkhtarulImanMLA #Bihar #LokasabhaElection2024,Sartaj Alam Champarni Ø³Ø±ØªØ§Ø¬,"Apr 3, 2024 Â· 6:41 AM UTC",1321,2,174,10
14,https://twitter.com/aimim_national/status/1775486344610885999#m,Mera qadam qadam pe madad-gaar hai khuda  #AIMIM #AsaduddinOwaisi #Ramzanekareem #Hyderabad #Telangana #India,AIMIM,"Apr 3, 2024 Â· 11:31 AM UTC",1080,0,158,5
15,https://twitter.com/naseerCorpGhmc/status/1775448977363911031#m,"à¤•à¤¿à¤¶à¤¨à¤—à¤‚à¤œ à¤²à¥‹à¤•à¤¸à¤­à¤¾ à¤¸à¥€à¤Ÿ à¤¸à¥‡ AIMIM à¤ªà¥à¤°à¤¤à¥à¤¯à¤¾à¤¶à¥€ @Akhtaruliman5 à¤¨à¥‡ à¤¨à¤¾à¤®à¤¾à¤‚à¤•à¤¨ à¤ªà¤°à¥à¤šà¤¾ à¤¦à¤¾à¤–à¤¿à¤² à¤•à¤¿à¤¯à¤¾à¥¤ à¤‡à¤¸ à¤®à¥Œà¤•à¤¼à¥‡ à¤ªà¤° AIMIM à¤¬à¤¿à¤¹à¤¾à¤° à¤ªà¥à¤°à¤­à¤¾à¤°à¥€ @Md_MajidHussain & @AIMIM4Bihar1 à¤¯à¥‚à¤¥ à¤ªà¥à¤°à¥‡à¤œà¤¿à¤¡à¥‡à¤‚à¤Ÿ @AadilHasanAdv1, à¤œà¤¨à¤¾à¤¬ à¤¨à¥à¤°à¥à¤² à¤¹à¤•à¤¼ ,à¤œà¤¨à¤¾à¤¬ à¤®à¥à¤œà¤«à¥à¤«à¤° à¤¹à¥à¤¸à¥ˆà¤¨ à¤¸à¤¾à¤¹à¤¬ à¤”à¤° à¤®à¤œà¤²à¤¿à¤¸ à¤•à¥‡ à¤…à¤¨à¥à¤¯ à¤•à¤¾à¤°à¥à¤¯à¤•à¤°à¥à¤¤à¤¾ à¤®à¥Œà¤œà¥‚à¤¦ à¤¥à¥‡à¥¤ à¤•à¤¿à¤¶à¤¨à¤—à¤‚à¤œ à¤•à¥€ à¤œà¤¨à¤¤à¤¾ à¤¸à¥‡ à¤…à¤ªà¥€à¤² à¤¹à¥ˆ à¤•à¤¿ à¤†à¤ªà¤²à¥‹à¤— AIMIM à¤•à¥‹ à¤•à¤¾à¤®à¤¯à¤¾à¤¬ à¤•à¥€à¤œà¤¿à¤¯à¥‡ à¤¤à¤¾à¤•à¤¿ @AkhtarulImanMLA à¤¸à¤¾à¤¹à¤¬ à¤¸à¤‚à¤¸à¤¦ à¤®à¥‡à¤‚ à¤¸à¥€à¤®à¤¾à¤‚à¤šà¤² à¤•à¥‡ à¤²à¤¿à¤ à¤à¤• à¤®à¤œà¤¼à¤¬à¥‚à¤¤ à¤†à¤µà¤¾à¤œà¤¼ à¤¬à¤¨ à¤¸à¤•à¥‡à¥¤ 26 à¤…à¤ªà¥à¤°à¥ˆà¤² à¤•à¥‹ à¤ªà¤¤à¤‚à¤— à¤•à¥‡ à¤¨à¤¿à¤¶à¤¾à¤¨ à¤ªà¤° à¤¬à¤Ÿà¤¨ à¤¦à¤¬à¤¾à¤•à¤° à¤…à¤–à¤¼à¥à¤¤à¤°à¥à¤² à¤ˆà¤®à¤¾à¤¨ à¤¸à¤¾à¤¹à¤¬ à¤•à¥‹ à¤•à¤¾à¤®à¤¯à¤¾à¤¬ à¤•à¥€à¤œà¤¿à¤!!",Mohammed Naseeruddin,"Apr 3, 2024 Â· 9:03 AM UTC",2024,2,383,15
16,https://twitter.com/4tvhyd/status/1775061082933223902#m,You are next Fringe Elements warn Asaduddin Owaisi. #NewsUpdate #4tvnews #AIMIM @asadowaisi,4tv News Channel,"Apr 2, 2024 Â· 7:21 AM UTC",102,0,40,0
17,https://twitter.com/MohdRashedFaraz/status/1775219140686762144#m,"7 Tombs Ke Pass Mein Ghulam Mohammed Sahab Ke Hadse Ne Hum Sab Ko Sadma Diya Hai Aur @aimim_national Ghulam Mohammed sahab Ko Taaziyat Pesh karti Hai.  Karwan MLA @kausarmohiuddin Sahab Aur AIMIM Jubilee Hills Contested MLA & Shaikpet Corporator ðŒð¨ð¡ðšð¦ð¦ðžð ð‘ðšð¬ð¡ðžð ð…ðšð«ðšð³ð®ððð¢ð§ Ne Unka Ilaaj Karwaya, Lekin Unki Jaan Nahi Bach Saki. Majlis Is Hadse Ki Mazamat Karti Hai Aur Zimmedar logon Ke khilaf Sakht Action ki Demand Karti Hai.  @asadowaisi @akbarowaisii #7tombs #OurWorkIsOurIdentity #RoadAccident #Hyderabad #Telangana #india",Mohammed Rashed Farazuddin,"Apr 2, 2024 Â· 5:49 PM UTC",129,0,30,1
18,https://twitter.com/AadilHasanAdv1/status/1775432928824090655#m,#Alhamdulillah nomination of @AkhtarulImanMLA sb submitted before @DM_Kishanganj Returning Officer with @Md_MajidHussain sb & others. Support the leadership of Br @asadowaisi sb . Vote & Support @Akhtaruliman5 sb AIMIM Kishanganj Lok Sabha candidate. #Kite ðŸª,Aadil Hasan Adv,"Apr 3, 2024 Â· 7:59 AM UTC",946,7,187,30
19,https://twitter.com/aimim_national/status/1775454737691013305#m,,AIMIM,"Apr 3, 2024 Â· 9:26 AM UTC",18,0,0,0
20,https://twitter.com/aimim_national/status/1775454733509230634#m,"Halqa-e-Paarlimaani Hyderabad ke Bogulkunta aur Niyaz Khana Kingkoti, Gosha Mahal Assembly Constituency ke naujwano'n ne kal apne Qauid-e-Mohtaram Sadr-e-Majlis Barrister @asadowaisi se Darussalam mein mulaqat ki  #AIMIM #AsaduddinOwaisi #Majlis #Darussalam #Hyderabad #Telangana #India",AIMIM,"Apr 3, 2024 Â· 9:26 AM UTC",275,0,53,4
